Company,Location,Country,Date,Year,Rocket,Mission,RocketStatus,Price,MissionStatus
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",USA,11/21/1960,1960,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,11/23/1960,1960,Thor DM-19 Delta,TIROS-2,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,11/30/1960,1960,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/1/1960,1960,Vostok,Korabl-Sputnik 3,Retired,0,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",USA,12/4/1960,1960,Scout X-1,Explorer (S-56),Retired,0,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,12/7/1960,1960,Thor DM-21 Agena-B,Discoverer 18,Retired,0,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",USA,12/15/1960,1960,Atlas-D Able,Pioneer P-31,Retired,0,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",USA,12/19/1960,1960,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,12/20/1960,1960,Thor DM-21 Agena-B,Discoverer 19,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/22/1960,1960,Vostok,1K n†­5 (Korabl-Sputnik 3),Retired,0,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",USA,1/31/1961,1961,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,0,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,1/31/1961,1961,Atlas-LV3 Agena-A,Samos 2,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,2/4/1961,1961,Molniya,1VA n†­1 (Venera 1),Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,2/12/1961,1961,Molniya,Venera 1,Retired,0,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",USA,2/16/1961,1961,Scout X-1,Explorer 9 (S-56A),Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,2/17/1961,1961,Thor DM-21 Agena-B,Discoverer 20,Retired,0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,2/18/1961,1961,Thor DM-21 Agena-B,Discoverer 21,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",USA,2/21/1961,1961,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,2/22/1961,1961,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,3/9/1961,1961,Vostok,Korabl-Sputnik 4,Retired,0,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",USA,3/24/1961,1961,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,3/25/1961,1961,Vostok,Korabl-Sputnik 5,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,3/25/1961,1961,Thor DM-19 Delta,Explorer 10,Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,3/30/1961,1961,Thor DM-21 Agena-B,Discoverer 22,Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,4/8/1961,1961,Thor DM-21 Agena-B,Discoverer 23,Retired,0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,4/12/1961,1961,Vostok,Vostok 1,Retired,0,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",USA,4/25/1961,1961,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,0,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",USA,5/5/1961,1961,Mercury-Redstone,Freedom 7 (MR-3),Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,6/8/1961,1961,Thor DM-21 Agena-B,Discoverer 24,Retired,0,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",USA,6/16/1961,1961,Thor DM-21 Agena-B,Discoverer 25,Retired,0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",USA,6/29/1961,1961,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,0,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",USA,6/30/1961,1961,Scout X-1,Explorer (S-55),Retired,0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",USA,7/7/1961,1961,Thor DM-21 Agena-B,Discoverer 26,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,7/12/1961,1961,Thor DM-19 Delta,TIROS-3,Retired,0,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",USA,7/12/1961,1961,Atlas-LV3 Agena-B,Midas 3,Retired,0,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",USA,7/21/1961,1961,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",USA,7/21/1961,1961,Thor DM-21 Agena-B,Discoverer 27,Retired,0,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",USA,8/4/1961,1961,Thor DM-21 Agena-B,Discoverer 28,Retired,0,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/6/1961,1961,Vostok,Vostok 2,Retired,0,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",USA,8/16/1961,1961,Thor DM-19 Delta,Explorer 12,Retired,0,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",USA,8/23/1961,1961,Atlas-LV3 Agena-B,Ranger 1,Retired,0,Failure
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",USA,8/25/1961,1961,Scout X-1,Explorer 13,Retired,0,Partial Failure
