Company,Location,Country,Date,Year,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,4/9/1981,1981,Cosmos-3M (11K65M),Cosmos 1263,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,4/12/1981,1981,Space Shuttle Columbia,STS-1,Retired,450,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",USA,4/24/1981,1981,Titan III(34)B Agena-D,Jumpseat 6,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,5/7/1981,1981,Cosmos-3M (11K65M),Cosmos 1269,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,5/14/1981,1981,Vostok-2M,Meteor-2 n†­8,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,5/19/1981,1981,Vostok-2M,Cosmos 1271,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",USA,5/23/1981,1981,Atlas-SLV3D Centaur-D1AR,Intelsat V -501,Retired,,Success
ISRO,"SLV LP, Satish Dhawan Space Centre, India",India,5/31/1981,1981,SLV-3,Rohini RS-D1,Retired,,Partial Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,6/4/1981,1981,Cosmos-3M (11K65M),Cosmos 1275,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,6/9/1981,1981,Molniya-M /Block ML,Molniya-3 n†­91,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",France,6/19/1981,1981,Ariane 1,CAT-3 & Others,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,6/19/1981,1981,Molniya-M /Block 2BL,Cosmos 1278,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,6/23/1981,1981,Atlas-E/F Star-37S-ISS,NOAA-C,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,6/24/1981,1981,Molniya-M /Block ML,Molniya-1 n†­92,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,7/10/1981,1981,Vostok-2M,Meteor-Priroda n†­5 & Iskra 1,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,8/4/1981,1981,Molniya-M /Block 2BL,Cosmos 1285,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/4/1981,1981,Tsyklon-2,Cosmos 1286,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",USA,8/6/1981,1981,Atlas-SLV3D Centaur-D1AR,FLTSATCOM-5,Retired,,Partial Failure
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,8/6/1981,1981,Cosmos-3M (11K65M),Cosmos 1287 to 1294,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,8/7/1981,1981,Vostok-2M,Intercosmos 22,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,8/10/1981,1981,N-II Star-37E,Himawari 2,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,8/12/1981,1981,Cosmos-3M (11K65M),Cosmos 1295,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/24/1981,1981,Tsyklon-2,Cosmos 1299,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",Russia,8/24/1981,1981,Tsyklon-3,Cosmos 1300,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,8/28/1981,1981,Cosmos-3M (11K65M),Cosmos 1302,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",USA,9/3/1981,1981,Titan IIID,KH-11,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,9/11/1981,1981,Molniya-M /Block ML,Cosmos 1305,Retired,,Partial Failure
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,9/14/1981,1981,Tsyklon-2,Cosmos 1306,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,9/18/1981,1981,Cosmos-3M (11K65M),Cosmos 1308,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",China,9/19/1981,1981,Feng Bao 1,Shijian 2,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",Russia,9/21/1981,1981,Tsyklon-3,Aureole 3,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,9/23/1981,1981,Cosmos-3M (11K65M),Cosmos 1310,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,9/28/1981,1981,Cosmos-3M (11K65M),Cosmos 1311,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",Russia,9/30/1981,1981,Tsyklon-3,Cosmos 1312,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,10/13/1981,1981,Vostok-2M,Cosmos 1315,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,10/17/1981,1981,Molniya-M /Block ML,Molniya-3 n†­94,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,10/31/1981,1981,Titan III(23)C,OPS-4029 (Vortex),Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,10/31/1981,1981,Molniya-M /Block 2BL,Cosmos 1317,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,11/12/1981,1981,Space Shuttle Columbia,STS-2,Retired,450,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,11/17/1981,1981,Molniya-M /Block ML,Molniya-1 n†­95,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",Russia,11/20/1981,1981,Cosmos-3M (11K65M),Bhaskara-2,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,11/28/1981,1981,Cosmos-3M (11K65M),Cosmos 1320 to 1327,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",Russia,12/3/1981,1981,Tsyklon-3,Cosmos 1328,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,12/4/1981,1981,Cosmos-3M (11K65M),Cosmos 1304,Retired,,Partial Failure
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",USA,12/15/1981,1981,Atlas-SLV3D Centaur-D1AR,Intelsat V -503,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,12/17/1981,1981,Cosmos-3M (11K65M),Radio-Sputnik 3 to 8,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",USA,12/19/1981,1981,Atlas-E/F SGS-1,GPS-7,Retired,,Failure
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",France,12/20/1981,1981,Ariane 1,MARCES-1 & CAT-4,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/23/1981,1981,Molniya-M /Block ML,Molniya-1 n†­96,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,1/7/1982,1982,Cosmos-3M (11K65M),Cosmos 1331,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,1/14/1982,1982,Cosmos-3M (11K65M),Cosmos 1333,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",USA,1/21/1982,1982,Titan III(24)B,OPS 2849,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,1/29/1982,1982,Cosmos-3M (11K65M),Cosmos 1335,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,2/11/1982,1982,Tsyklon-2,Cosmos 1337,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,2/17/1982,1982,Cosmos-3M (11K65M),Cosmos 1339,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,2/19/1982,1982,Vostok-2M,Cosmos 1340,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,2/26/1982,1982,Molniya-M /Block ML,Molniya-1 n†­97,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,3/3/1982,1982,Molniya-M /Block 2BL,Cosmos 1341,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",Russia,3/4/1982,1982,Cosmos-3M (11K65M),Ta??foun n†­27,Retired,,Failure
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",USA,3/5/1982,1982,Atlas-SLV3D Centaur-D1AR,Intelsat V -504,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,3/6/1982,1982,Titan III(23)C,DSP-10,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,3/22/1982,1982,Space Shuttle Columbia,STS-3,Retired,450,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,3/24/1982,1982,Molniya-M /Block ML,Molniya-3 n†­98,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,3/24/1982,1982,Cosmos-3M (11K65M),Cosmos 1344,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",Russia,3/25/1982,1982,Tsyklon-3,Meteor-2 n†­8,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,3/31/1982,1982,Cosmos-3M (11K65M),Cosmos 1345,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,3/31/1982,1982,Vostok-2M,Cosmos 1346,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,4/7/1982,1982,Molniya-M /Block 2BL,Cosmos 1348,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,4/8/1982,1982,Cosmos-3M (11K65M),Cosmos 1349,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",Russia,4/21/1982,1982,Cosmos-3M (11K65M),Cosmos 1351,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,4/28/1982,1982,Cosmos-3M (11K65M),Cosmos 1354,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,4/29/1982,1982,Tsyklon-2,Cosmos 1355,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,5/5/1982,1982,Vostok-2M,Cosmos 1356,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,5/6/1982,1982,Cosmos-3M (11K65M),Cosmos 1357 to 1364,Retired,,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",USA,5/11/1982,1982,Titan IIID,KH-9 & SSF-D-4,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,5/14/1982,1982,Tsyklon-2,Cosmos 1365,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,5/20/1982,1982,Molniya-M /Block 2BL,Cosmos 1367,Retired,,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,5/28/1982,1982,Molniya-M /Block ML,Molniya-1 n†­99,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,6/1/1982,1982,Cosmos-3M (11K65M),Cosmos 1371,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,6/1/1982,1982,Tsyklon-2,Cosmos 1372,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",Russia,6/3/1982,1982,Cosmos-3MRB (65MRB),Cosmos 1374 (BOR-4 Space Shuttle),Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,6/6/1982,1982,Cosmos-3M (11K65M),Cosmos 1375,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",Russia,6/10/1982,1982,Tsyklon-3,Cosmos 1378,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,6/18/1982,1982,Tsyklon-2,Cosmos 1379,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,6/18/1982,1982,Cosmos-3M (11K65M),Cosmos 1380,Retired,,Partial Failure
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,6/25/1982,1982,Molniya-M /Block 2BL,Cosmos 1382,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,6/27/1982,1982,Space Shuttle Columbia,STS-4,Retired,450,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,6/29/1982,1982,Cosmos-3M (11K65M),Cosmos 1383,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,7/7/1982,1982,Cosmos-3M (11K65M),Cosmos 1386,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,7/21/1982,1982,Cosmos-3M (11K65M),Cosmos 1388 to 1395,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,7/21/1982,1982,Molniya-M /Block ML,Molniya-1 n†­100,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",Russia,7/29/1982,1982,Cosmos-3M (11K65M),Cosmos 1397,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/2/1982,1982,Tsyklon-2,Cosmos 1412,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,8/5/1982,1982,Vostok-2M,Cosmos 1400,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,8/27/1982,1982,Molniya-M /Block ML,Molniya-3 n†­101,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,8/30/1982,1982,Tsyklon-2,Cosmos 1402,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,8/30/1982,1982,Cosmos-3M (11K65M),Strela-2M satellite,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,9/3/1982,1982,N-I,Kiku 4,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,9/4/1982,1982,Tsyklon-2,Cosmos 1405,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",France,9/9/1982,1982,Ariane 1,MARCES-B & Sirio-2,Retired,,Failure
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",China,9/9/1982,1982,Long March 2C,FSW-0 No.4,Active,30.8,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",Russia,9/16/1982,1982,Tsyklon-3,Cosmos 1408,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,9/22/1982,1982,Molniya-M /Block 2BL,Cosmos 1409,Retired,,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",Russia,9/24/1982,1982,Tsyklon-3,Cosmos 1410,Retired,,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",USA,9/28/1982,1982,Atlas-SLV3D Centaur-D1AR,Intelsat V -505,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,10/19/1982,1982,Cosmos-3M (11K65M),Cosmos 1417,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",Russia,10/21/1982,1982,Cosmos-3M (11K65M),Cosmos 1418,Retired,,Success
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,10/30/1982,1982,Titan 34D,DSCS-II-15 + DSCS-III-A1,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,11/11/1982,1982,Cosmos-3M (11K65M),Cosmos 1420,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,11/11/1982,1982,Space Shuttle Columbia,STS-5,Retired,450,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",USA,11/17/1982,1982,Titan IIID,KH-11,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,11/24/1982,1982,Cosmos-3M (11K65M),Strela-1M satellites,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,12/8/1982,1982,Molniya-M /Block ML,Cosmos 1423,Retired,,Partial Failure
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,12/14/1982,1982,Vostok-2M,Meteor-2 n†­10,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,12/21/1982,1982,Atlas-E/F Star-37S-ISS,DMSP 5D-2/F6,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,12/29/1982,1982,Cosmos-3M (11K65M),Cosmos 1427,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,1/12/1983,1983,Cosmos-3M (11K65M),Cosmos 1428,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,1/19/1983,1983,Cosmos-3M (11K65M),Cosmos 1429 to 1436,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,1/20/1983,1983,Vostok-2M,Cosmos 1437,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,1/25/1983,1983,Cosmos-3M (11K65M),Ta??foun n†­32,Retired,,Failure
MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,2/4/1983,1983,N-II Star-37E,Sakura 2a,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",USA,2/9/1983,1983,Atlas-H MSD,NOSS-5,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,2/16/1983,1983,Vostok-2M,Cosmos 1441,Retired,,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan",Japan,2/20/1983,1983,Mu-III S,Tenma,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,3/11/1983,1983,Molniya-M /Block ML,Molniya-3 n†­103,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",Russia,3/15/1983,1983,Cosmos-3MRB (65MRB),Cosmos 1445 (BOR-4 Space Shuttle),Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,3/16/1983,1983,Molniya-M /Block ML,Molniya-1 n†­104,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,3/24/1983,1983,Cosmos-3M (11K65M),Cosmos 1447,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,3/28/1983,1983,Atlas-E/F Star-37S-ISS,NOAA-E,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,3/30/1983,1983,Cosmos-3M (11K65M),Cosmos 1448,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,4/2/1983,1983,Molniya-M /Block ML,Molniya-1 n†­105,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,4/4/1983,1983,Space Shuttle Challenger,STS-6,Retired,450,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,4/6/1983,1983,Cosmos-3M (11K65M),Cosmos 1450,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,4/12/1983,1983,Cosmos-3M (11K65M),Cosmos 1452,Retired,,Success
ISRO,"SLV LP, Satish Dhawan Space Centre, India",India,4/17/1983,1983,SLV-3,Rohini RS-D2,Retired,,Success
US Air Force,"SLC-4W, Vandenberg AFB, California, USA",USA,4/17/1983,1983,Titan III(24)B,OPS 2925,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,4/19/1983,1983,Cosmos-3M (11K65M),Cosmos 1453,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",Russia,4/23/1983,1983,Tsyklon-3,Cosmos 1455,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,4/25/1983,1983,Molniya-M /Block 2BL,Cosmos 1456,Retired,,Success
RVSN USSR,"Site 86/1, Kapustin Yar, Russia",Russia,5/4/1983,1983,Cosmos-3MRB (65MRB),BOR-5 Shuttle,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,5/6/1983,1983,Cosmos-3M (11K65M),Cosmos 1459,Retired,,Success
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,5/7/1983,1983,Tsyklon-2,Cosmos 1461,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,5/19/1983,1983,Cosmos-3M (11K65M),Cosmos 1463,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",USA,5/19/1983,1983,Atlas-SLV3D Centaur-D1AR,Intelsat V -506,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,5/24/1983,1983,Cosmos-3M (11K65M),Cosmos 1464,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",Russia,5/26/1983,1983,Cosmos-3M (11K65M),Cosmos 1465,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",USA,6/9/1983,1983,Atlas-H MSD,NOSS-6,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",France,6/16/1983,1983,Ariane 1,ECS 1 & Oscar-10,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,6/18/1983,1983,Space Shuttle Challenger,STS-7,Retired,450,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA",USA,6/20/1983,1983,Titan 34D,OPS-0721 (KH-9),Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",Russia,6/22/1983,1983,Tsyklon-3,Cosmos 1470,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,7/1/1983,1983,Molniya-M /Block SO-L,Prognoz n†­9,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,7/6/1983,1983,Cosmos-3M (11K65M),Cosmos 1473 to 1480,Retired,,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,7/8/1983,1983,Molniya-M /Block 2BL,Cosmos 1481,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,7/14/1983,1983,Atlas-E/F SGS-2,GPS-8,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,7/19/1983,1983,Molniya-M /Block ML,Molniya-1 n†­106,Retired,,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,7/24/1983,1983,Vostok-2M,Cosmos 1484,Retired,,Success
Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",USA,7/31/1983,1983,Titan III(34)B Agena-D,Jumpseat 7,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,8/3/1983,1983,Cosmos-3M (11K65M),Cosmos 1486,Retired,,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,8/5/1983,1983,N-II Star-37E,Sakura 2b,Retired,,Success
CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",China,8/19/1983,1983,Long March 2C,FSW-0 No.5,Active,30.8,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,8/30/1983,1983,Molniya-M /Block ML,Molniya-3 n†­107,Retired,,Success
RVSN USSR,"Site 107/1, Kapustin Yar, Russia",Russia,8/31/1983,1983,Cosmos-3M (11K65M),Cosmos 1494,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,9/5/1983,1983,Space Shuttle Challenger,STS-8,Retired,450,Success
RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",Russia,9/28/1983,1983,Tsyklon-3,Cosmos 1500,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,9/30/1983,1983,Cosmos-3M (11K65M),Cosmos 1501,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,10/5/1983,1983,Cosmos-3M (11K65M),Cosmos 1502,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,10/12/1983,1983,Cosmos-3M (11K65M),Cosmos 1503,Retired,,Success
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",France,10/19/1983,1983,Ariane 1,Intelsat 507,Retired,,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,10/26/1983,1983,Cosmos-3M (11K65M),Cosmos 1506,Retired,,Success
RVSN USSR,"Site 16/2, Plesetsk Cosmodrome, Russia",Russia,10/28/1983,1983,Vostok-2M,Meteor-2 n†­11,Retired,,Success
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,10/29/1983,1983,Tsyklon-2,Cosmos 1507,Retired,,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,11/11/1983,1983,Cosmos-3M (11K65M),Cosmos 1508,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",USA,11/18/1983,1983,Atlas-E/F Star-37S-ISS,DMSP 5D-2/F7,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,11/23/1983,1983,Molniya-M /Block ML,Molniya-1 n†­108,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",Russia,11/24/1983,1983,Tsyklon-3,Cosmos 1510,Retired,,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,11/28/1983,1983,Space Shuttle Columbia,STS-9,Retired,450,Success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,12/8/1983,1983,Cosmos-3M (11K65M),Cosmos 1513,Retired,,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",Russia,12/15/1983,1983,Tsyklon-3,Cosmos 1515,Retired,,Success
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,12/21/1983,1983,Molniya-M /Block ML,Molniya-3 n†­109,Retired,,Success
